,Model,N_Components,Diversity Score
0,stv1,5,0.6478723404255319
1,stv1,6,0.6625668449197861
2,stv1,7,0.6611702127659574
3,stv1,8,0.6505263157894737
4,stv1,9,0.6555555555555556
5,stv1,10,0.6540404040404041
6,stv2,5,0.6195121951219512
7,stv2,6,0.6247619047619047
8,stv2,7,0.6381188118811881
9,stv2,8,0.6218274111675127
10,stv2,9,0.630622009569378
11,stv2,10,0.6326829268292683
12,mini,5,0.6535087719298246
13,mini,6,0.6592105263157895
14,mini,7,0.6593495934959349
15,mini,8,0.6480176211453744
16,mini,9,0.651931330472103
17,mini,10,0.6510729613733905
18,mpnet,5,0.6604651162790698
19,mpnet,6,0.6556561085972851
20,mpnet,7,0.6586854460093897
21,mpnet,8,0.6563063063063063
22,mpnet,9,0.6668202764976958
23,mpnet,10,0.6668161434977579
24,robbert,5,0.668503937007874
25,robbert,6,0.6694444444444444
26,robbert,7,0.6770833333333334
27,robbert,8,0.6726530612244898
28,robbert,9,0.6723849372384937
29,robbert,10,0.6698795180722892
30,e5,5,0.6123152709359606
31,e5,6,0.6056872037914692
32,e5,7,0.6137440758293838
33,e5,8,0.6005128205128205
34,e5,9,0.6125603864734299
35,e5,10,0.6059113300492611
