,Model,N_Neighbors,Diversity Score
0,stv1,5,0.6478723404255319
1,stv1,10,0.6540404040404041
2,stv1,15,0.6520618556701031
3,stv1,20,0.658659217877095
4,stv1,25,0.647486033519553
5,stv1,30,0.6551912568306011
6,stv2,5,0.6195121951219512
7,stv2,10,0.6326829268292683
8,stv2,15,0.6372340425531915
9,stv2,20,0.6429268292682927
10,stv2,25,0.6345
11,stv2,30,0.643
12,mini,5,0.6535087719298246
13,mini,10,0.6510729613733905
14,mini,15,0.6644736842105263
15,mini,20,0.6561946902654867
16,mini,25,0.6625531914893616
17,mini,30,0.6559633027522935
18,mpnet,5,0.6604651162790698
19,mpnet,10,0.6668161434977579
20,mpnet,15,0.6584474885844749
21,mpnet,20,0.6706422018348623
22,mpnet,25,0.6649038461538461
23,mpnet,30,0.6570093457943925
24,robbert,5,0.668503937007874
25,robbert,10,0.6698795180722892
26,robbert,15,0.6828326180257511
27,robbert,20,0.6863247863247863
28,robbert,25,0.6886075949367089
29,robbert,30,0.6904761904761905
30,e5,5,0.6123152709359606
31,e5,10,0.6059113300492611
32,e5,15,0.6171717171717171
33,e5,20,0.6247422680412371
34,e5,25,0.6128205128205129
35,e5,30,0.6038043478260869
