min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,document_coverage,number_of_topics,model_name,doc_cov_top10pct
20,7,10,0.6220951018948874,0.3676874683619832,0.658290723155588,280,qwen3,0.6336742147552958
20,10,10,0.6297602256699577,0.3610586331131065,0.6384709033357682,284,qwen3,0.6336742147552958
25,10,10,0.6313823163138231,0.373035212472099,0.6388117847577307,241,qwen3,0.6336742147552958
20,15,10,0.6337727110794442,0.3635200532646683,0.6346968590211833,281,qwen3,0.6336742147552958
30,15,10,0.6460132046724225,0.3828896067222237,0.6370343316289262,197,qwen3,0.6336742147552958
20,10,10,0.6507826086956522,0.3561965944319009,0.6668858047236426,288,mpnet,0.6468249330411493
25,5,10,0.6553030303030303,0.3584606217009321,0.6519600681762844,238,mpnet,0.6468249330411493
20,15,10,0.6564942314849275,0.3534479205121958,0.6933284635987339,269,mpnet,0.6468249330411493
25,7,10,0.659297789336801,0.3640299027701393,0.6630630630630631,231,mpnet,0.6468249330411493
30,7,10,0.6598909271194844,0.3694065164453764,0.6469685902118335,202,mpnet,0.6468249330411493
25,15,10,0.6638506002667852,0.3598936687760988,0.6559532505478451,225,mpnet,0.6468249330411493
25,10,10,0.6647191011235956,0.3552262745113218,0.6827124421719016,223,mpnet,0.6468249330411493
30,5,10,0.6691919191919192,0.3683107944982367,0.6507426345264183,198,mpnet,0.6468249330411493
25,15,10,0.6799163179916318,0.3584639811168381,0.739517896274653,239,robbert,0.7248794740686633
20,15,10,0.680565371024735,0.3543847271249153,0.7433406379352325,283,robbert,0.7248794740686633
20,7,10,0.6819444444444445,0.3547239958339153,0.7391283175066958,288,robbert,0.7248794740686633
25,7,10,0.6824,0.3571485026917392,0.7313610908205502,250,robbert,0.7248794740686633
30,15,10,0.6889400921658986,0.3621266047799713,0.7299488677867056,217,robbert,0.7248794740686633
20,7,20,0.6903073286052009,0.359168553326862,0.7260530801071342,254,robbert,0.7248794740686633
30,7,10,0.6910714285714286,0.3603771468244326,0.7349403457511565,224,robbert,0.7248794740686633
40,7,10,0.7,0.373865291239979,0.7254687119551985,174,robbert,0.7248794740686633
