,model,c_v_score,topic_diversity,document_coverage
0,mpnet - Mean [SD] (in-range),0.3695 [0.0081],0.6673 [0.0175],0.6142 [0.0261]
1,mpnet - Mean [SD] (all-data),0.3670 [0.0084],0.6511 [0.0332],0.6135 [0.0295]
2,mpnet - Max value,0.3856,0.7035,0.6998
3,mpnet - Config at max,combination column not found,combination column not found,combination column not found
4,robbert - Mean [SD] (in-range),0.3705 [0.0059],0.6881 [0.0097],0.6847 [0.0254]
5,robbert - Mean [SD] (all-data),0.3668 [0.0085],0.6753 [0.0256],0.6847 [0.0259]
6,robbert - Max value,0.3824,0.7043,0.7520
7,robbert - Config at max,combination column not found,combination column not found,combination column not found
8,qwen3 - Mean [SD] (in-range),0.3559 [0.0066],0.6496 [0.0184],0.5875 [0.0218]
9,qwen3 - Mean [SD] (all-data),0.3528 [0.0077],0.6345 [0.0308],0.5913 [0.0235]
10,qwen3 - Max value,0.3705,0.6870,0.6527
11,qwen3 - Config at max,combination column not found,combination column not found,combination column not found
